ocsp.digicert.com,0,83,471
ocsp.pki.goog,7,332,1884
ocsp.comodoca.com,1,83,279
status.rapidssl.com,1,83,471
neverssl.com,2,0,1306
detectportal.firefox.com,2,0,16
www.kolejkarudy.pl,58,0,15250
www.neverssl.com,2,0,1306
scratchpads.eu,31,0,44614
iczn.org,21,0,12315
